content,score,at,sentiment,clean_content
mantap,1,2026-05-14 07:03:59.000000,negatif,mantap
"AI Paling Dongo, udah berlangganan masih sering error, apa apaan itu, mana di suruh buat link unduhan buat download gambar nya malah di buat 1 foto dengan 4 layout + 1 screenshoot-an link 1 - 3, norak bangett",2,2026-05-16 11:36:54.000000,negatif,ai dongo udah berlangganan error suruh link unduhan download gambar nya foto layout screenshootan link norak bangett
"tolongnya jangan suka ngelag tiba-tiba, misal pesan yang udh pernah di bales jadi berulangkali ngirim pesan yang sama jadinya info yang di dapet jadi terhambat. Kenapa masih ngelag pesan yang SUDAH TERKIRIM KENAPA MASIH SUKA NGELAG LAHH-!!! MOHON DI PERBAIKI 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻",1,2026-05-17 03:36:25.000000,negatif,tolongnya jangan suka ngelag tibatiba pesan udh bales berulangkali ngirim pesan info dapet terhambat ngelag pesan terkirim suka ngelag lahh mohon perbaiki
lemot,1,2026-05-18 03:40:27.563182,negatif,lemot
sangat bagus bisa mengedit foto dengan lebih mudah,4,2026-05-17 01:59:59.000000,positif,bagus mengedit foto mudah
jelek,2,2026-05-16 13:41:03.000000,negatif,jelek
bAgus,5,2026-05-14 00:05:34.000000,positif,bagus
semenjak vape rame jadi ngga bisa cari tau tentang vape lagi,1,2026-05-13 17:38:24.000000,negatif,semenjak vape rame ngga cari tau vape
jujur ini lebih keren daripada dola,5,2026-05-16 10:05:50.000000,positif,jujur keren dola
suka banget sama ChatGPT aku rasa ini app terbaik,3,2026-05-13 08:52:59.000000,netral,suka banget chatgpt app terbaik
tidak sesuai update update nya burik jir karena selalu ngejek pas di ejek lagi malah gak tau di salin langsung tau,1,2026-05-15 15:00:32.000000,negatif,tidak sesuai update update nya burik jir ngejek pas ejek gak tau salin langsung tau
haruss tepatt dan tidakk di guga guga,2,2026-05-13 14:13:19.000000,negatif,haruss tepatt tidakk guga guga
sangat perfek,5,2026-05-16 06:35:03.000000,positif,perfek
"aku suka kerana dia keren, bisa ngedit gambar, tapi chat gpt sekarang masih sama terkecuali, kapan kita mengirim gambar dari kamera, file, album, maksimumnya cuman 3 dan sekarang harus bayar untuk bisa lebih, gua dulu di kelas 6 sebelum semester 2 ujian akhir, dari semester 1 - tengah semester 2 masih bisa sepuas hati mengirim gambar sekarang bagaimana cuman 3 , sampai sini saja semoga pembuat chat gpt lihat",1,2026-05-15 09:44:15.000000,negatif,suka kerana keren ngedit gambar chat gpt terkecuali mengirim gambar kamera file album maksimumnya cuman bayar gua kelas semester ujian semester semester sepuas hati mengirim gambar cuman semoga pembuat chat gpt lihat
chatgpt ku kenapa tidak bisa dibuka ya? padahal kemarin cuman keluar dan akan berganti akun tapi malah jadinya ga bisa dibuka,1,2026-05-13 00:17:25.000000,negatif,chatgpt ku tidak dibuka ya kemarin cuman berganti akun ga dibuka
"plis lah chat gpt kenapa pas ak mau ngedit foto suka gabisa, padahal ak juga ngedit nya ga berlebihan loohh, dan selalu bilang ak di bawah umur, why??, ak udh dewasa woyy, pliss😭, jadi tolong perbaiki ya chat gpt secepatnya tolong.",3,2026-05-13 08:46:02.000000,netral,plis chat gpt pas ak ngedit foto suka gabisa ak ngedit nya ga loohh bilang ak umur why ak udh dewasa woyy pliss tolong perbaiki ya chat gpt secepatnya tolong
jelex,1,2026-05-17 00:48:08.000000,negatif,jelex
lemot,1,2026-05-18 03:40:27.563182,negatif,lemot
"aplikasi nya sangat bagus. tapi tolong di tambahkan edit video, sekian terimakasih",3,2026-05-15 12:44:07.000000,netral,aplikasi nya bagus tolong tambahkan edit video sekian terimakasih
mantap,1,2026-05-14 07:03:59.000000,negatif,mantap
baguss walau agak ngelag😃,5,2026-05-16 12:29:40.000000,positif,baguss ngelag
bagus,3,2026-05-12 03:37:55.000000,netral,bagus
karena kurang cepat,3,2026-05-16 23:59:30.000000,netral,kurang cepat
lumayan,3,2026-05-13 17:17:28.000000,netral,lumayan
-gak ada fitur bikin apk,1,2026-05-13 07:02:16.000000,negatif,gak fitur bikin apk
"aplikasi ini sangat membantu, jadi aku kasih bintang 5",5,2026-05-14 14:10:50.000000,positif,aplikasi membantu kasih bintang
ok,4,2026-05-16 11:21:30.000000,positif,ok
mantappp,5,2026-05-15 06:12:17.000000,positif,mantappp
mantapp sangat membantu,5,2026-05-12 08:33:13.000000,positif,mantapp membantu
"sukak bangetttt soalnya bisa ngebantu foto ku,dan hasilnya pun memuaskan 😭💗💗💖",5,2026-05-16 13:49:24.000000,positif,sukak bangetttt ngebantu foto kudan hasilnya memuaskan
mantapp,5,2026-05-16 04:53:33.000000,positif,mantapp
gpt tolol tpi asik,2,2026-05-15 15:22:47.000000,negatif,gpt tolol tpi asik
"Ai ini mengalami bug dan gabisa diajak ngobrol, bikin fotonya lama, ga bisa diajak kerja sama, sama kalo kali kali bisa diajak ngobrol malah ngelantur jawab nya",1,2026-05-16 16:40:43.000000,negatif,ai mengalami bug gabisa diajak ngobrol bikin fotonya ga diajak kerja kalo kali kali diajak ngobrol ngelantur nya
aplikasi bagus banget,3,2026-05-15 03:33:13.000000,netral,aplikasi bagus banget
saat aku meminta bantuan dia langsung gercep banget kiri,5,2026-05-14 03:22:22.000000,positif,bantuan langsung gercep banget kiri
"Aplikasinya cukup bagus hanya saja ada fitur bayar jika ingin jwbnya lebih cepat dan batas unggah foto hnya sedikit jika ingin lebih bnyk harus tingkatkan ke pro ATAU PLUS kadang benar jawabannya kadang salah. kadang jawabanku benar disalahin, tolong perbaiki lebih bagus kedepannya agar ya download nya juga tidak merasa kecewa. maaf aku kasih ranting 3 SEKIAN DAN TERIMAKASIH🙏",3,2026-05-15 22:28:32.000000,netral,aplikasinya bagus fitur bayar jwbnya cepat batas unggah foto hnya bnyk tingkatkan pro plus kadang jawabannya kadang salah kadang jawabanku disalahin tolong perbaiki bagus kedepannya ya download nya tidak kecewa maaf kasih ranting sekian terimakasih
sering gagal menjawab pertanyaan,1,2026-05-18 03:40:27.563182,negatif,gagal
apk yg bagus,5,2026-05-12 12:14:10.000000,positif,apk yg bagus
bagus namun lambat saat meminta gambar,3,2026-05-15 03:36:37.000000,netral,bagus lambat gambar
Bagus banget,5,2026-05-13 10:09:17.000000,positif,bagus banget
Nice,3,2026-05-12 17:48:19.000000,netral,nice
kerenn,3,2026-05-12 21:05:04.000000,netral,kerenn
update nya makin jelek.,1,2026-05-16 14:21:47.000000,negatif,update nya jelek
"jmbt asw ai anjg, gapaham mulu pdhl udh berkali kali anj bngst",1,2026-05-13 15:13:19.000000,negatif,jmbt asw ai anjg gapaham mulu pdhl udh berkali kali anj bngst
bgus,5,2026-05-11 15:24:53.000000,positif,bgus
good,5,2026-05-14 11:33:59.000000,positif,good
ok,5,2026-05-14 09:48:19.000000,positif,ok
Kata orang di tiktok chat gpt bisa melihat aktivitas kitaa😭,1,2026-05-12 15:26:14.000000,negatif,orang tiktok chat gpt aktivitas kitaa
"kesel bgt sama chatgpt yang sekarang, mudah lupa, kaku, ngga asik dan cepet limit, balikin chatgpt kaya dulu lagi!",3,2026-05-15 14:22:25.000000,netral,kesel bgt chatgpt mudah lupa kaku ngga asik cepet limit balikin chatgpt kaya
mantap,3,2026-05-15 21:12:01.000000,netral,mantap
ga bisa nampilin gambar 👎,3,2026-05-14 09:59:10.000000,netral,ga nampilin gambar
mantap,5,2026-05-12 13:03:22.000000,positif,mantap
karena kurang cepat,3,2026-05-16 23:59:30.000000,netral,kurang cepat
pengerjaannya cepat tidak lama sih,3,2026-05-15 11:57:19.000000,netral,pengerjaannya cepat tidak sih
"ai paling sampah,banyak aturan dan kikir,gw gapernah ngetik aneh aneh tapi kena pelanggaran,udah gitu semua hal yang di ingin kan ga sesuai sama harapan,dan kalau memberi informasi itu tidak pernah bener",1,2026-05-15 03:31:03.000000,negatif,ai sampahbanyak aturan kikirgw gapernah ngetik aneh aneh kena pelanggaranudah gitu ga sesuai harapandan informasi tidak bener
dongo Cok GK pintar pintar masih gw cuman bikin foto aja kayak org mau bikin nuklir seabad foto nya tidak di saran kan,1,2026-05-14 03:03:41.000000,negatif,dongo cok gk pintar pintar gw cuman bikin foto aja kayak org bikin nuklir seabad foto nya tidak saran
terbantu sekali baik,5,2026-05-13 16:11:20.000000,positif,terbantu
Aplikasi Ini Sangat Berguna Jika digunakan untuk mencari jawaban membuat Skenario dan Cerita Tapi Tolong ya Sensor nya jangan terlalu ketat dan juga Yang Chat ber foto tolong di tambah lagi ya,4,2026-05-14 11:51:56.000000,positif,aplikasi berguna mencari skenario cerita tolong ya sensor nya jangan ketat chat ber foto tolong ya
memproses fotonya bisa sampe 24 jam gak jadi jadi aku kesel ajir nungguinnya,1,2026-05-14 09:51:23.000000,negatif,memproses fotonya sampe jam gak kesel ajir nungguinnya
tidak buruk tapi belum sempurna,3,2026-05-18 03:40:27.563182,netral,tidak buruk belum sempurna
kadang error,3,2026-05-12 15:59:37.000000,netral,kadang error
sering bug,1,2026-05-18 03:40:27.563182,negatif,bug
