content,score,at,sentiment,clean_content
apliaksi nya bagus tapi kadang masih suka ngasih info asal dan ga sesuai. kadang juga susah padahal udah dikasih perintah tapi ga dilakukan,5,2026-05-17 03:39:43.000000,positif,apliaksi nya bagus kadang suka ngasih info ga sesuai kadang susah udah dikasih perintah ga
sangat Bagus Dan baik,3,2026-05-17 03:39:25.000000,netral,bagus
mantap sangat mambantu,5,2026-05-17 03:38:57.000000,positif,mantap mambantu
sangat mudah,4,2026-05-17 03:37:54.000000,positif,mudah
mantap,5,2026-05-17 03:37:15.000000,positif,mantap
bagus,5,2026-05-17 03:36:30.000000,positif,bagus
"tolongnya jangan suka ngelag tiba-tiba, misal pesan yang udh pernah di bales jadi berulangkali ngirim pesan yang sama jadinya info yang di dapet jadi terhambat. Kenapa masih ngelag pesan yang SUDAH TERKIRIM KENAPA MASIH SUKA NGELAG LAHH-!!! MOHON DI PERBAIKI 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻",1,2026-05-17 03:36:25.000000,negatif,tolongnya jangan suka ngelag tibatiba pesan udh bales berulangkali ngirim pesan info dapet terhambat ngelag pesan terkirim suka ngelag lahh mohon perbaiki
"cocok untuk mencari informasi Dan desain, chatgpt juga bagus untuk pekerjaan yang dirasa sulit Dan juga bisa dipakai untuk ide menggambar says kasih bintang 5 krna chatgpt cocok untuk dipakai tentang hall sulit.",5,2026-05-17 03:33:35.000000,positif,cocok mencari informasi desain chatgpt bagus pekerjaan dirasa sulit dipakai ide menggambar says kasih bintang krna chatgpt cocok dipakai hall sulit
sangat amat membantu,5,2026-05-17 03:28:55.000000,positif,membantu
jawaban nya sesuai dan keren aplikasinya bagus buat belajar,5,2026-05-17 03:25:45.000000,positif,nya sesuai keren aplikasinya bagus belajar
keren,5,2026-05-17 03:22:44.000000,positif,keren
mantap,4,2026-05-17 03:17:50.000000,positif,mantap
bagus 😎👍,5,2026-05-17 03:14:36.000000,positif,bagus
bagus,4,2026-05-17 03:12:08.000000,positif,bagus
bagus sih cuman gabisa dipake untuk soal olimpiade misalnya chriptarithm atau yg laen gabisa ini,3,2026-05-17 03:12:06.000000,netral,bagus sih cuman gabisa dipake olimpiade chriptarithm yg laen gabisa
ga tau kenapa kok gambar yang sebenarnya ga melanggar pedoman tapi di bilang melanggar pedoman,1,2026-05-17 03:09:44.000000,negatif,ga tau gambar ga melanggar pedoman bilang melanggar pedoman
semoga bermanfaat,5,2026-05-17 03:06:40.000000,positif,semoga bermanfaat
ga becus si alan di suruh mna yg di kasih tau mna kek p a o k2 OOT X,1,2026-05-17 03:05:26.000000,negatif,ga becus si alan suruh mna yg kasih tau mna kek p a o k oot x
berguna sekali bagi saya untuk mengedit foto dan berguna untuk saya belajar,5,2026-05-17 03:05:17.000000,positif,berguna mengedit foto berguna belajar
good,5,2026-05-17 03:02:58.000000,positif,good
bagus profesional,4,2026-05-17 02:58:09.000000,positif,bagus profesional
keren,5,2026-05-17 02:57:40.000000,positif,keren
sgt bagus,5,2026-05-17 02:53:09.000000,positif,sgt bagus
"well, lumayan si buat bikin tugas , tpi ada batasan nya",4,2026-05-17 02:51:34.000000,positif,well lumayan si bikin tugas tpi batasan nya
bagus👍,5,2026-05-17 02:50:43.000000,positif,bagus
sangat butuh bangat buat saya adeit poto bagus lagi gk ada jeleknya,5,2026-05-17 02:50:42.000000,positif,butuh bangat adeit poto bagus gk jeleknya
saya suka aplikasi ini,5,2026-05-17 02:49:39.000000,positif,suka aplikasi
berguna,5,2026-05-17 02:36:05.000000,positif,berguna
mantap Poko yaa mahhh,5,2026-05-17 02:33:15.000000,positif,mantap poko yaa mahhh
"apaansi, makin kikir kek capcut gajelas, baru nanya dikit padahal tiba2 udh dapet limit, kurang canggih lagi fak makin gjls",2,2026-05-17 02:31:51.000000,negatif,apaansi kikir kek capcut gajelas nanya dikit udh dapet limit kurang canggih fak gjls
"gpt ini sangat membantu, aku menyukainya. ia cepat dan santai, gpt membantu ku dalam membuat cerita,tugas sekolah,ilustrasi gambar. pokoknya Best bgt",5,2026-05-17 02:25:42.000000,positif,gpt membantu menyukainya cepat santai gpt membantu ku ceritatugas sekolahilustrasi gambar pokoknya best bgt
bagus aje,5,2026-05-17 02:20:06.000000,positif,bagus aje
mantap 👍,5,2026-05-17 02:09:51.000000,positif,mantap
bagusss bangettt buat ngedit suukaaa dehhh intinyaaaa,4,2026-05-17 02:09:10.000000,positif,bagusss bangettt ngedit suukaaa dehhh intinyaaaa
hasil gambar jelek gak sesuai ekspektasi tasi,1,2026-05-17 02:08:15.000000,negatif,hasil gambar jelek gak sesuai ekspektasi tasi
bagus,5,2026-05-17 02:06:37.000000,positif,bagus
sangat bagus,5,2026-05-17 02:04:48.000000,positif,bagus
"baguss banget aku suka, tapi minus nya harus berlangganan",4,2026-05-17 02:03:30.000000,positif,baguss banget suka minus nya berlangganan
bagus dan baik,5,2026-05-17 02:03:02.000000,positif,bagus
sangat bagus bisa mengedit foto dengan lebih mudah,4,2026-05-17 01:59:59.000000,positif,bagus mengedit foto mudah
baguss aja,5,2026-05-17 01:58:28.000000,positif,baguss aja
bagus,5,2026-05-17 01:56:43.000000,positif,bagus
bangus rekomendasi apalagi yang plus,5,2026-05-17 01:54:24.000000,positif,bangus rekomendasi plus
sangat membantu,5,2026-05-17 01:53:43.000000,positif,membantu
bagus sekali,5,2026-05-17 01:51:17.000000,positif,bagus
mantap,5,2026-05-17 01:49:19.000000,positif,mantap
bisa membuat apapun yang aku mau jadi ku kasih 100/10,5,2026-05-17 01:47:35.000000,positif,apapun ku kasih
normal terus yaaa,5,2026-05-17 01:47:12.000000,positif,normal yaaa
manta sangan membantu,5,2026-05-17 01:47:11.000000,positif,manta sangan membantu
mempermudah promosi,5,2026-05-17 01:41:34.000000,positif,mempermudah promosi
kadang tidak menjawab yang ku inginkan jawab terlalu detail tidak mengikuti vibes dll but yeah bisa ku naikkan jika akhirnya ada improvisasi,1,2026-05-17 01:37:31.000000,negatif,kadang tidak ku detail tidak mengikuti vibes dll but yeah ku naikkan improvisasi
karena sangat membantu dan bagi saya dia memberi informasi dengan cepat,5,2026-05-17 01:33:39.000000,positif,membantu informasi cepat
sukaaa,4,2026-05-17 01:32:43.000000,positif,sukaaa
bagus sekali,5,2026-05-17 01:31:17.000000,positif,bagus
"bagusss, suka",5,2026-05-17 01:29:25.000000,positif,bagusss suka
lumayan berguna,5,2026-05-17 01:28:37.000000,positif,lumayan berguna
memuaskan,5,2026-05-17 01:24:44.000000,positif,memuaskan
aPKnya bagus banget,5,2026-05-17 01:20:54.000000,positif,apknya bagus banget
"Aplikasi keren luar biasa secara otomatis bisa menjawab dengan benar dan kita inginkan, jika kita salah di koreksi",5,2026-05-17 01:19:00.000000,positif,aplikasi keren otomatis salah koreksi
sangat membantu,5,2026-05-17 01:16:15.000000,positif,membantu
"aplikasinya bagus sekali saya puas gunakan ini krna hasilnya luar biasa apapun yang saya inginkan sesuai semuanya, terimakasih untuk aplikasinya",4,2026-05-17 01:15:29.000000,positif,aplikasinya bagus puas krna hasilnya apapun sesuai terimakasih aplikasinya
keren,5,2026-05-17 01:14:49.000000,positif,keren
sangat sempurna,5,2026-05-17 01:14:42.000000,positif,sempurna
"apk yang bagus, sangat membantu",5,2026-05-17 01:06:12.000000,positif,apk bagus membantu
mantap bisa jadi temen,5,2026-05-17 01:05:18.000000,positif,mantap temen
bagus banget!!!!,5,2026-05-17 01:04:56.000000,positif,bagus banget
sangat membantu,5,2026-05-17 00:59:19.000000,positif,membantu
bagus sangat membatu karena ada chatgpt,5,2026-05-17 00:58:04.000000,positif,bagus membatu chatgpt
"overall apk ai nya bagus tapi kekurangan nya 1 menurutku, waktu mau salin chatnya gaada tulisan ""salin"" adanya ""pilih semua"" tapi waktu aku pencet gabisa dipencet",5,2026-05-17 00:57:19.000000,positif,overall apk ai nya bagus kekurangan nya menurutku salin chatnya gaada tulisan salin pilih pencet gabisa dipencet
jelex,1,2026-05-17 00:48:08.000000,negatif,jelex
Saat Ada angka tiba tiba eror k dari kemarin eror mulu,1,2026-05-17 00:47:46.000000,negatif,angka eror k kemarin eror mulu
sangattt jelekk kayakk mmk,5,2026-05-17 00:41:41.000000,positif,sangattt jelekk kayakk mmk
baguss,5,2026-05-17 00:39:27.000000,positif,baguss
bagus,5,2026-05-17 00:30:46.000000,positif,bagus
debsss,5,2026-05-17 00:30:31.000000,positif,debsss
cukup membantu pikiran di kepala di saat buntu mencari jawaban.,5,2026-05-17 00:27:26.000000,positif,membantu pikiran kepala buntu mencari
sangat membantu,5,2026-05-17 00:19:28.000000,positif,membantu
bagus banget buat membantu,5,2026-05-17 00:17:44.000000,positif,bagus banget membantu
bagus,5,2026-05-17 00:16:30.000000,positif,bagus
terbaik,5,2026-05-17 00:15:25.000000,positif,terbaik
bagus,5,2026-05-17 00:14:52.000000,positif,bagus
apiikk Juoos,5,2026-05-17 00:02:00.000000,positif,apiikk juoos
karena kurang cepat,3,2026-05-16 23:59:30.000000,netral,kurang cepat
mantap,5,2026-05-16 23:54:40.000000,positif,mantap
sangat memuaskannnnnn👍👍👍👍👍👍👍⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐,5,2026-05-16 23:52:32.000000,positif,memuaskannnnnn
"jelek, ngeselin banget terus juga banyak limitnya",1,2026-05-16 23:44:59.000000,negatif,jelek ngeselin banget limitnya
bagus,4,2026-05-16 23:44:55.000000,positif,bagus
bagusssss,5,2026-05-16 23:43:59.000000,positif,bagusssss
good apps,4,2026-05-16 23:43:46.000000,positif,good apps
terbaik,4,2026-05-16 23:42:08.000000,positif,terbaik
mantaff👍,5,2026-05-16 23:37:49.000000,positif,mantaff
bagus,5,2026-05-16 23:33:08.000000,positif,bagus
aplikasi nya bagus bisa bikin gambar bisa kirim video biasanya kan cuma bisa kirim foto,5,2026-05-16 23:32:32.000000,positif,aplikasi nya bagus bikin gambar kirim video kirim foto
jelek,1,2026-05-16 23:25:23.000000,negatif,jelek
aku mau lebih cepat memberikan gambar atau foto,3,2026-05-16 23:11:10.000000,netral,cepat gambar foto
sangat bagus untuk mengedit foto,5,2026-05-16 23:10:45.000000,positif,bagus mengedit foto
suka syekaliiiii,5,2026-05-16 23:09:05.000000,positif,suka syekaliiiii
keren,5,2026-05-16 22:38:12.000000,positif,keren
baguss,5,2026-05-16 22:29:33.000000,positif,baguss
bagus,5,2026-05-16 22:27:39.000000,positif,bagus
ok lah,5,2026-05-16 22:25:29.000000,positif,ok
chatGPT terbaik dan tercepat dalam membuat gambar,5,2026-05-16 22:22:17.000000,positif,chatgpt terbaik tercepat gambar
keren ainya,5,2026-05-16 22:19:04.000000,positif,keren ainya
mantap,5,2026-05-16 22:14:56.000000,positif,mantap
jangan di unduh,5,2026-05-16 22:06:48.000000,positif,jangan unduh
bagus,5,2026-05-16 22:00:53.000000,positif,bagus
"masa kalo ngedit foto selalu bermasalah,tapi kalo soal pertanyaan bagus",2,2026-05-16 21:33:40.000000,negatif,kalo ngedit foto bermasalahtapi kalo bagus
bagus,5,2026-05-16 21:14:26.000000,positif,bagus
bagus,4,2026-05-16 21:12:38.000000,positif,bagus
bagus skli,5,2026-05-16 21:06:00.000000,positif,bagus skli
mantapz,5,2026-05-16 21:04:50.000000,positif,mantapz
bagus aplikasinya,4,2026-05-16 20:51:34.000000,positif,bagus aplikasinya
recomended banget,5,2026-05-16 20:42:16.000000,positif,recomended banget
bagus banget,4,2026-05-16 20:31:45.000000,positif,bagus banget
memberikan saran yang sangat buruk dan merugikan saya,1,2026-05-16 20:01:30.000000,negatif,saran buruk merugikan
"aplikasi ini sangat bagus, untuk saya yang jomlo ini 🗿",5,2026-05-16 19:52:22.000000,positif,aplikasi bagus jomlo
